,patch,msg,proj,lang,index,codereviewer_pred,magicoder_pred,lstm_pred,knn_pred
35,"@@ -142,7 +142,7 @@ void PairLubricate::compute(int eflag, int vflag)
     Ef[2][2] = h_rate[2]/domain->zprd;
     Ef[0][1] = Ef[1][0] = 0.5 * h_rate[5]/domain->yprd;
     Ef[0][2] = Ef[2][0] = 0.5 * h_rate[4]/domain->zprd;
-    Ef[1][2] = Ef[2][1] = 0.5 * h_rate[3]/domain->zprd;
+    Ef[1][2] = Ef[2][1] = 0.5 * h_rate[3]/domain->xprd;
 
     // copy updated velocity/omega/angmom to the ghost particles
     // no need to do this if not shearing since comm->ghost_velocity is set",Not clear on why this change is correct.,lammps-lammps,cpp,66,Why do we need this?,This is a new field that is not used anywhere in the code. It might be a good idea to remove it if it's not used.,,"It's a better pattern to inject the config in the `@BuildStep` method. This way, we keep track of the dependencies. (our code is not consistent so you might have found occurrences of this pattern)"
36,"@@ -5425,7 +5425,7 @@ SyncOpBeginRenderPass::SyncOpBeginRenderPass(CMD_TYPE cmd, const SyncValidator &
             // TODO: Revisit this when all attachment validation is through SyncOps to see if we can discard the plain pointer copy
             // Note that this a safe to presist as long as shared_attachments is not cleared
             attachments_.reserve(shared_attachments_.size());
-            for (const auto attachment : shared_attachments_) {
+            for (const auto &attachment : shared_attachments_) {
                 attachments_.emplace_back(attachment.get());
             }
         }","@sfricke-samsung -- thanks. saves a few atomic ops which is always good :) The TODO is there to track that this object is storing *both* vectors of shared_ptr and plain pointers to the same data. The shared are to ensure scope, and the plain are for backwards compatibility with existing code that consumed a plain pointer vector (and some code that still does). That should be cleaned up.",KhronosGroup-Vulkan-ValidationLayers,cpp,2039,Why did you change this?,"This is a bit confusing. It seems like you're looking for any element, not all of them.",,also `True` is an alias for `'INFO'` and `False` is an alias for `'WARNING'`
37,"@@ -6,6 +6,17 @@
 
 C015_queue_element::C015_queue_element() {}
 
+C015_queue_element::C015_queue_element(C015_queue_element&& other)
+  : idx(other.idx), _timestamp(other._timestamp), TaskIndex(other.TaskIndex)
+  , controller_idx(other.controller_idx), valuesSent(other.valuesSent)
+  , valueCount(other.valueCount)
+{
+  for (byte i = 0; i < VARS_PER_TASK; ++i) {
+    txt[i]  = std::move(other.txt[i]);
+    vPin[i] = other.vPin[i];
+  }
+}
+
 C015_queue_element::C015_queue_element(const struct EventStruct *event, byte value_count) :
   idx(event->idx),
   TaskIndex(event->TaskIndex),","ref. above, this also can be omitted in case `txt = std::move(other.txt);` could work (or copy), consider `std::array<String, VARS_PER_TASK>;`? or a custom object implementing `Object& operator=(Object&&) noexcept;'",letscontrolit-ESPEasy,cpp,6046,Why do we need to warn here?,"This is a good place to use logging instead of returning an error response. It's a bit more verbose but it's more flexible in the long run.

Also, you can remove the errResponseJSON and err variables as they're not being used.
Lastly, you can remove the utils.RequestTypeContainerMetadata as it's not being used.",,"This is necessary because `TimeConversions` converts to `java.time` now? Maybe we need to consider adding support for `java.time` in `AvroSchemaProvider` now (not for this PR, of course)"
38,"@@ -144,14 +144,14 @@ void test3() {
     ExplicitBitVect bv(2048);
     AvalonTools::getAvalonFP(""c1cocc1"", true, bv, 2048, false, true, 0x006FFF);
     BOOST_LOG(rdInfoLog) << ""c1cocc1 "" << bv.getNumOnBits() << std::endl;
-    TEST_ASSERT(bv.getNumOnBits() == 53);
+    TEST_ASSERT(bv.getNumOnBits() == 48);
   }
   {
     ExplicitBitVect bv(2048);
     AvalonTools::getAvalonFP(""C1=COC=C1"", true, bv, 2048, false, true,
                              0x006FFF);
     BOOST_LOG(rdInfoLog) << ""C1=COC=C1 "" << bv.getNumOnBits() << std::endl;
-    TEST_ASSERT(bv.getNumOnBits() == 53);
+    TEST_ASSERT(bv.getNumOnBits() == 48);
   }
 
   BOOST_LOG(rdInfoLog) << ""done"" << std::endl;",I believe that all the changes in this file are not valid for v1.2 of the Avalon toolkit.,rdkit-rdkit,cpp,4707,Extra empty line detected at method body end.,"The `opts` parameter is not used in the method. It might be better to remove it.

The `localize` option is not used in the method. It might be better to remove it.
The `serializer` parameter is not used in the method. It might be better to remove it.
The method name `normalized_key` is not descriptive. It might be better to rename it to something more descriptive.
The method is not using the `opts` parameter. It might be better to remove it.
The method is not using the `serializer` parameter. It might be better to remove it.
The method is not using the `serializer` parameter. It might be better to",,do we still need this fix?
39,"@@ -229,6 +229,16 @@ bool Mob::CastSpell(uint16 spell_id, uint16 target_id, CastingSlot slot,
 		return false;
 	}
 
+	if (IsEffectInSpell(spell_id, SE_Charm) && !PassCharmTargetRestriction(entity_list.GetMobID(target_id))) {
+		if (IsClient()) {
+			CastToClient()->SendSpellBarEnable(spell_id);
+		}
+		if (casting_spell_id && IsNPC()) {
+			CastToNPC()->AI_Event_SpellCastFinished(false, static_cast<uint16>(casting_spell_slot));
+		}
+		return false;
+	}
+
 	if (HasActiveSong() && IsBardSong(spell_id)) {
 		LogSpells(""Casting a new song while singing a song. Killing old song [{}]"", bardsong);
 		//Note: this does NOT tell the client","We don't need to cast to client here. (well, from spell gem not AA etc) We should also make sure the charm is a casted spell before calling SendSpellBarEnable.",EQEmu-Server,cpp,1987,Why do we need this change?,"The defer udpConn.Close() should be moved to the end of the function, after the for loop. This way, the connection is closed only when the function ends, not when the error occurs.

The function should also return the error if it occurs, so that the caller can handle it appropriately.
Here is the corrected code:
```go
func startDnsServer() error {
	laddr := &net.UDPAddr{
		IP:   net.ParseIP(""127.0.0.1""),
		Port: 53,
	}
	udpConn, err := net.ListenUDP(""udp"", laddr)
	if err!= nil {
		klog.Errorf(""Dns server Start error : %s"", err)
		return err
	defer udpConn.Close()
	dnsConn = udpConn
	for {
		req := make([]byte, bufSize)
		//...
}
```",,"I'm not sure how will application use this 'last_write', can it tolerate the inconsistency of 'last_write epoch' and 'last write' caused by PMDK transaction abort (or reboot before vo_max_write being flushed)?"
40,"@@ -6316,7 +6316,8 @@ Lng32 SQL_EXEC_DeleteHbaseJNI()
       threadContext->incrNumOfCliCalls();
 
       HBaseClient_JNI::deleteInstance();
-      HiveClient_JNI::deleteInstance();
+      // The Hive client persists across connections
+      // HiveClient_JNI::deleteInstance();
    }
    catch(...)
    {",Is there any security issue here? If we integrate with Hive security (and I don't know if we have or not) is there some notion of re-authentication at connection time?,apache-trafodion,cpp,2816,Why do we need to set the metrics provider here?,This is a good addition to the code. It provides a way to monitor the performance of the mounter.,,please do `from letsencrypt import configuration`
41,"@@ -4199,7 +4199,15 @@ void EntityList::QuestJournalledSayClose(Mob *sender, float dist, const char *mo
 	buf.WriteInt32(0); // location, client doesn't seem to do anything with this
 	buf.WriteInt32(0);
 	buf.WriteInt32(0);
-	buf.WriteString(message);
+
+	// auto inject saylinks (say)
+	if (RuleB(Chat, AutoInjectSaylinksToSay)) {
+		std::string new_message = EQ::SayLinkEngine::InjectSaylinksIfNotExist(message);
+		buf.WriteString(new_message.c_str());
+	}
+	else {
+		buf.WriteString(message);
+	}
 
 	auto outapp = new EQApplicationPacket(OP_SpecialMesg, buf);
 ",`c_str()` is not needed.,EQEmu-Server,cpp,4674,I think this should be `CDATA` instead of `CDATA`,"The CDATA section is not necessary here. The CDATA section is used to escape special characters in XML. In this case, the special characters are already escaped, so the CDATA section is not needed.",,Why are you using the `float` type here? What prevents you from using the `uint32` type
42,"@@ -25,9 +25,10 @@ ExecutionEngine::~ExecutionEngine() {
 
 Status ExecutionEngine::init(std::shared_ptr<folly::IOThreadPoolExecutor> ioExecutor) {
     auto addrs = network::NetworkUtils::toHosts(FLAGS_meta_server_addrs);
-    if (!addrs.ok()) {
+    if (!addrs.ok() || addrs.value().empty()) {
         return addrs.status();
     }
+
     metaClient_ = std::make_unique<meta::MetaClient>(ioExecutor, std::move(addrs.value()));
     metaClient_->init();
 ","If FLAGS_meta_server_addrs is not empty, in which case ""toHosts"" return empty array?",vesoft-inc-nebula,cpp,1099,Please don't use wildcard imports.,The imports are not needed. The code is already using the classes from the java.io package.,,rubygems should not be required here. rubygems is required by default in MarkUs.
43,"@@ -3277,7 +3277,7 @@ bool CoreChecks::PreCallValidateGetQueryPoolResults(VkDevice device, VkQueryPool
                                                     VkQueryResultFlags flags) const {
     if (disabled.query_validation) return false;
     bool skip = false;
-    skip |= ValidateQueryPoolStride(""VUID-vkGetQueryPoolResults-flags-00814"", ""VUID-vkGetQueryPoolResults-flags-00815"", stride,
+    skip |= ValidateQueryPoolStride(""VUID-vkGetQueryPoolResults-flags-02827"", ""VUID-vkGetQueryPoolResults-flags-00815"", stride,
                                     ""dataSize"", dataSize, flags);
     skip |= ValidateGetQueryPoolResultsFlags(queryPool, flags);
     skip |= ValidateGetQueryPoolResultsQueries(queryPool, firstQuery, queryCount);","The VUIDs in this area are not great, but I think `ValidateQueryPoolStride` should probably be skipped if the query pool was created with type `VK_QUERY_TYPE_PERFORMANCE_QUERY`. VUID-02828 might be a better fit, but again, the existing VUIDs step on each other so it requires a bit of interpretation.",KhronosGroup-Vulkan-ValidationLayers,cpp,988,`player->getVocation()->getId() != VOCATION_NONE ? 0x01 : 0x00; // prey data`,"This is a bit of a mess. It seems like the code is trying to send a lot of data to the client, but it's not clear what the data is supposed to represent. It's also not clear why the prey data is only sent if the client version is 1100 or later.",,is a public setter useful? Maybe if this bound?
44,"@@ -352,6 +352,9 @@ def qt_message_handler(msg_type, context, msg):
         # may not be available on the system
         ""QSslSocket: cannot resolve SSLv3_client_method"",
         ""QSslSocket: cannot resolve SSLv3_server_method"",
+        # When enabling debugging with QtWebEngine
+        ""Remote debugging server started successfully. Try pointing a ""
+            ""Chromium-based browser to "",
     ]
     if sys.platform == 'darwin':
         suppressed_msgs += [","You somehow got a change from `master` into your branch again, in e6d2167085688264e5ee6a81cfd2a7a8f10ded13. While it's not something terribly bad (as it will be fine after merging), it's kind of confusing, and I have no idea how it happens :laughing: Are you trying to update changes from `master` while working on your branch somehow? How do you do that?",qutebrowser-qutebrowser,py,5569,This should be reverted.,You can remove this as it's not used in the code.,,Might want to sleep before logging the retry so anyone tailing the log wont think it's retrying when it actually sleeping. I'll have to rely on you judgement as to whether the random sleep time makes sense.
45,"@@ -77,6 +77,7 @@ def _launch_local_catalog():
     env = dict(REGISTRY_URL=""http://localhost:5000"",
                S3_PROXY_URL=open_config[""s3Proxy""],
                ALWAYS_REQUIRE_AUTH=""false"",
+               NO_DOWNLOAD=""false"",
                CATALOG_MODE=""LOCAL"",
                SSO_AUTH=""DISABLED"",
                PASSWORD_AUTH=""ENABLED"",",Since this is a dict don't you want `False` or do we clean that up elsewhere?,quiltdata-quilt,py,1479,Please remove this line.,The comment is misleading. The file is not included in the original code. It should be removed.,,put the fname at the top of the file and use os.path.join so tests can run on windows... some day...
46,"@@ -284,7 +284,6 @@ function getDefaultService() {
 Options.prototype.CAPABILITY_KEY = 'goog:chromeOptions'
 Options.prototype.BROWSER_NAME_VALUE = Browser.CHROME
 Driver.getDefaultService = getDefaultService
-Driver.prototype.VENDOR_COMMAND_PREFIX = 'goog'
 
 // PUBLIC API
 exports.Driver = Driver",The vendor prefix is still being used on Chromium based browsers like Edge Chromium and Chrome. Did you mean to remove this?,SeleniumHQ-selenium,py,5282,Why do we need this change?,"The function name is misleading. It's not creating a service account, it's creating a K8s ServiceAccount object. The name of the service account should be the same as the one used in the GCP project.",,is this necessary? why not just `url = $sce.valueOf(origUrl);`
47,"@@ -1,10 +1,12 @@
+from __future__ import unicode_literals
+
 import numpy as np
 import param
 
 from ..core import (HoloMap, DynamicMap, CompositeOverlay, Layout,
                     GridSpace, NdLayout, Store)
 from ..core.util import (match_spec, is_number, wrap_tuple,
-                         get_overlay_spec, unique_iterator)
+                         get_overlay_spec, unique_iterator, safe_unicode)
 
 
 def displayable(obj):",Not sure how this import relates to the PR but seems like a good idea anyway...,holoviz-holoviews,py,5088,`has_xcb_errors` -> `has_xcb_errors`,"You can remove these now given we have an explicit check earlier in layoutCallback

### Summary
The code changes are mostly correct and follow the best practices. However, there are a few improvements that can be made:
1. The `evp_md_from_dispatch` function should be NULL checked for `md`.
2. The `SSL_SRP_CTX_init` function should be memset() of `srp_ctx`.
3. The `AmpA4A` class should remove the `#ifdef` checks for `WITH_XCB_ERRORS` and `HAS_EXECINFO`.",,"This is still not right. You have to `continue;` or else line 115 will have `item == null`, which will either result in `key.call` throwing a `NullPointerException` (if it does not accept null values) or `loadChildren` returning a map with unexpected null values (if the function silently accepts them)."
48,"@@ -626,6 +626,8 @@ class OptionsManagerMixIn(object):
             config_file = self.config_file
         if config_file is not None:
             config_file = os.path.expanduser(config_file)
+            if not os.path.exists(config_file):
+                raise IOError(""The config file {:s} doesn't exist!"".format(config_file))
 
         use_config_file = config_file and os.path.exists(config_file)
         if use_config_file:",You don't need af ormat specified here.,PyCQA-pylint,py,8779,nit: `pendingNumDocs` -> `numberOfPendingDocs`,This method is not used in the codebase. It's a good idea to remove it.,,"I do no think this previous code compiled.. ""foo - bar"" is output for identifier ""foo-bar"". Ouch. The reason it passed compile check is that compile check was not deeply compiling ( -v all)."
49,"@@ -78,6 +78,8 @@ def autorun_get_interactive_session(cmds, **kargs):
             self.s = """"
         def write(self, x):
             self.s += x
+        def flush(self):
+            pass
             
     sw = StringWriter()
     sstdout,sstderr = sys.stdout,sys.stderr","This is required, otherwise multiprocessing will (for some reason) crash",secdev-scapy,py,4033,Why do we need these?,"This is a good addition to the code base. It will help in debugging and will make the code more robust.

The code change is adding two new exceptions: _NumCatgoriesNotSpecified and _UnknownOutput. These exceptions will be raised when the number of categories is not specified or when an unknown output is encountered, respectively. This will help in debugging and will make the code more robust.",,this is just a precaution regarding a case where path might be empty (`bucket/`) but the split still succeeds. Another replacement might be `if '/' not in entry.rstrip('/'): ...` though the code above made more sense to me
50,"@@ -106,7 +106,10 @@ def dummy_cert(privkey, cacert, commonname, sans, organization):
     cert.gmtime_adj_notBefore(-3600 * 48)
     cert.gmtime_adj_notAfter(DEFAULT_EXP_DUMMY_CERT)
     cert.set_issuer(cacert.get_subject())
-    if commonname is not None and len(commonname) < 64:
+    is_valid_commonname = (
+        commonname is not None and len(commonname) < 64
+    )
+    if is_valid_commonname:
         cert.get_subject().CN = commonname
     if organization is not None:
         cert.get_subject().O = organization","`<= 64`? I just picked up what you said in #3981 (""the CN field is limited to 64 characters"") but maybe there's something I don't know where the 64th character is needed (trailing dot or whatever?) Also this sounds like something that could be beautifully unit tested. Sorry for bugging you :grin:",mitmproxy-mitmproxy,py,675,Shouldn't this be `!item.getType().isRepeated()`?,"This is a bit of a red flag. It seems like the code is trying to handle both a non-repeated and a repeated field, which is not a good practice. It would be better to handle these cases separately.",,"The terraformer images are relatively large (200+ MBs). Just to be on the safe side, should we use a bit higher timeout, for example 5 minutes?"
51,"@@ -59,7 +59,9 @@ class ClusterParamsTest(TestCaseBase):
       self.assertGreaterEqual(encodersDict['c1']['resolution'], 0.001,
                               ""Resolution is too low"")
 
-
+    # Ensure incorrect tmImplementation throws exception
+    with self.assertRaises(ValueError):
+        getScalarMetricWithTimeOfDayAnomalyParams([0], tmImplementation="""")
 
 if __name__ == '__main__':
   unittest.main()",You should also have a test that calls it with tm_cpp and make sure it returns the correct JSON file.,numenta-nupic,py,6643,Why do we need to wait here?,"This is a good point to check if the informer cache is synced before starting the flow aggregator. If the cache is not synced, it might lead to inconsistencies in the data.",,"to check my understanding here, the reason we are using `stored_url_for_user` and accessing directly is because `after_sign_in_path_for` would delete the value?"
52,"@@ -235,11 +235,16 @@ echo ""echo '{export_forseti_vars}' >> /etc/profile.d/forseti_environment.sh"" | s
 gsutil cp gs://{scanner_bucket}/configs/forseti_conf_server.yaml {forseti_server_conf}
 gsutil cp -r gs://{scanner_bucket}/rules {forseti_home}/
 
+# Download the Newest Config Validator constraints from GCS
+rm -rf /home/ubuntu/config_validator_constraints
+gsutil cp -r gs://{scanner_bucket}/config_validator_constraints /home/ubuntu/
+
 # Start Forseti service depends on vars defined above.
 bash ./install/gcp/scripts/initialize_forseti_services.sh
 
 echo ""Starting services.""
 systemctl start cloudsqlproxy
+systemctl start config-validator
 sleep 5
 
 echo ""Attempting to update database schema, if necessary.""",Will this always be started up as default? Is there any impact to the VM in terms of load and memory usage?,forseti-security-forseti-security,py,7858,nit: `GetUriTagValueFromRequestUri` -> `GetUriTagValueFromRequest`,"This method is not used anywhere in the codebase. It's a good idea to remove it.

The method `GetUriTagValueFromRequestUri` is a bit confusing. It's not clear what it does. It seems to be concatenating the scheme, authority, path, query, and fragment of a URI into a single string. It's not clear why this is necessary or what it's intended to be used for. It might be better to rename this method to something more descriptive.",,Can you disable useEvalMap with debugEvalScriptContext
53,"@@ -62,6 +62,9 @@ class kubernetes(luigi.Config):
     kubernetes_namespace = luigi.OptionalParameter(
         default=None,
         description=""K8s namespace in which the job will run"")
+    max_retrials_to_get_pods = luigi.IntParameter(
+        default=0,
+        description=""Max retrials to get pods' informations"")
 
 
 class KubernetesJobTask(luigi.Task):","`retrials` isn't the word you intend. I think you mean `retries` and to that end, can the var name just be `max_retries`?",spotify-luigi,py,1908,nit: `Transports returns the transports that used by this outbound.`,"This is a good addition to the interface, but it's not clear what the return type should be. It's not clear what the transports are, or what the purpose of this method is. It's also not clear what the Dispatcher is, or how it's used.

It's also not clear what the purpose of this method is. It's not clear what the return type should be. It's not clear what the transports are, or what the purpose of this method is. It's also not clear what the Dispatcher is, or how it's used.",,Shouldn't this be t.Error(spew.Sdump(actions[0])) (and similar below ?)
54,"@@ -1,7 +1,7 @@
 # -*- coding: UTF-8 -*-
 #core.py
 #A part of NonVisual Desktop Access (NVDA)
-#Copyright (C) 2006-2016 NV Access Limited, Aleksey Sadovoy, Christopher Toth, Joseph Lee, Peter Vágner
+#Copyright (C) 2006-2016 NV Access Limited, Aleksey Sadovoy, Christopher Toth, Joseph Lee, Peter Vágner, Derek Riemer
 #This file is covered by the GNU General Public License.
 #See the file COPYING for more details.
 ",2016 should be 2017.,nvaccess-nvda,py,5529,Shouldn't this be `if len(parts) == 3`?,"This is a bit of a code review, but it seems like you're trying to split a string by commas, and then assign the second and third parts of the split string to a map. It seems like you're doing this for each line of the file, but you're not checking if the split string has at least two parts. This could potentially cause an out of range error if the line doesn't have at least two parts.

You could add a check to make sure that the split string has at least two parts before trying to assign the second and third parts to the map. This would look something like this:
```go
for s.Scan() {
	parts := strings.Split(s.Text(), "":"")
	if len(parts) < 2 {
		continue
	}
	...
}
```
This will skip any lines that don't have at least two parts, which should prevent the out of range error.",,Why was this removed?
55,"@@ -0,0 +1,17 @@
+#include <iostream>
+#include <conio.h>
+using namespace std;
+
+int main()
+{	
+	int year;
+	cout<<""Enter year to check\n"";
+	cin>>year;
+	if((year%4==0 && year%100!=0) || year%400==0){
+		cout<<""leap year.\n"";
+	}
+	else{
+		cout<<"" Not leap year.\n"";
+	}
+	return 0;
+}",use function to check it. - don't do everything in main,shoaibrayeen-Programmers-Community,c,937,Why do we need to skip this if `Puppet::Pops::Types::PSensitiveType::Sensitive` isn't defined?,"This is a bit of a guess, but it seems like this code is trying to unwrap sensitive arguments from Puppet, which is a Ruby library. If Puppet isn't loaded, it should just return the arguments as is.

If this is the case, you could add a check to see if Puppet is loaded before trying to unwrap the arguments. If Puppet isn't loaded, you could just return the arguments as is. This would prevent the code from breaking if Puppet isn't loaded.",,You may want to check for a concrete version (e.g. avoid `@5:`)
56,"@@ -62,6 +62,12 @@ static void setup_globals(mrb_state *mrb)
 
     h2o_mruby_eval_expr(mrb, ""$LOAD_PATH << \""#{$H2O_ROOT}/share/h2o/mruby\"""");
     h2o_mruby_assert(mrb);
+
+    /* require and include built-in libraries */
+    h2o_mruby_eval_expr(mrb, ""require \""h2o.rb\""\n""
+                             ""require \""acl.rb\""\n""
+                             ""include H2O::ACL\n"");
+    h2o_mruby_assert(mrb);
 }
 
 mrb_value h2o_mruby_to_str(mrb_state *mrb, mrb_value v)",Just one more thing... How about doing all of the following? 1. renaming h2o.rb to bootstrap.rb 2. require and include the acl code _from_ bootstrap.rb,h2o-h2o,c,6554,nit: `shouldShowOnboarding` -> `shouldShowOnboarding`,"This method seems to be a bit misleading. It's not actually changing the auto-flattr settings, but rather it's just checking if the user has seen the onboarding for a specific location. It's not clear what the purpose of this method is. It might be better to rename it to something like ""hasSeenOnboardingForLocation"" or ""hasSeenOnboardingForLocation"".",,We don't do field injection anymore -> can you do a setter instead?
57,"@@ -22,6 +22,7 @@ from libcodechecker.logger import add_verbose_arguments
 from libcodechecker.logger import LoggerFactory
 
 LOG = LoggerFactory.get_new_logger('ANALYZE')
+CTU_FUNC_MAP_CMD = 'clang-func-mapping'
 
 
 class OrderedCheckersAction(argparse.Action):","This default variable should be moved into a config variable, created by `package_context`, and read from `config\package_layout.json`.",Ericsson-codechecker,c,3575,nit: `platformPkgManagerTuple` -> `platformPkgManager`,This is a good addition to the code. It makes the code more readable and easier to understand. It also makes the code more maintainable as it makes it easier to add new platforms and package managers in the future.,,"A default property should not depend on a `user.name`. At the moment of review, I don't even know what value is returned at this point. A system property `user.name`, which is part of the Zeppelin startup parameters, is unknown to me."
58,"@@ -17,6 +17,7 @@ package main
 import (
 	. ""github.com/onsi/ginkgo""
 	. ""github.com/onsi/gomega""
+
 	""github.com/projectcalico/felix/k8sfv/leastsquares""
 )
 ","No issue here, but what tool are you running to put these imports into the preferred organization? I have configuration to run `goimports` whenever I save a file, but it appears that that is not quite sufficient.",projectcalico-felix,c,9348,Why is this needed?,"This is a bit of a strange use of monkeypatching, but it seems to be a workaround for a bug in PyQt. The width of the tab bar is not being set correctly, so we're setting it manually. This is a bit of a hack and may not work in all cases, so it might be better to find a more permanent solution to the problem.",,"Same problem here, this old, deprecated method should take FQN of old `org.infinispan.client.hotrod.impl.transport.tcp.FailoverRequestBalancingStrategy`"
59,"@@ -929,3 +929,17 @@ void wlr_surface_send_leave(struct wlr_surface *surface,
 		}
 	}
 }
+
+static inline int64_t timespec_to_msec(const struct timespec *a) {
+	return (int64_t)a->tv_sec * 1000 + a->tv_nsec / 1000000;
+}
+
+void wlr_surface_send_frame_done(struct wlr_surface *surface,
+		const struct timespec *when) {
+	struct wlr_frame_callback *cb, *cnext;
+	wl_list_for_each_safe(cb, cnext, &surface->current->frame_callback_list,
+			link) {
+		wl_callback_send_done(cb->resource, timespec_to_msec(when));
+		wl_resource_destroy(cb->resource);
+	}
+}",We have this functions in a couple of places. It should probably live in util or something.,swaywm-wlroots,c,7165,Why was this removed?,You can remove the reload call as it's not necessary. The changes are already saved to the database.,,"Makes sense, due to the added the conflicts. But shouldn't this be `when='@9.0:+adol-c+trilinos'`? Also, could we please put this further down the list (~line 199 with the other trilinos depends)? That way this list remains (nearly) alphabetically ordered."
60,"@@ -139,6 +139,8 @@ static const char* generate_multi_dot_name(ast_t* ast, ast_t** def_found) {
 
     default:
     {
+      if (def == NULL)
+        return stringtab("""");
       pony_assert(0);
     }
   }","@jemc , this is one change needed in `generate_multi_dot_name`. I believe this * will do no harm to working pony code: The new code was added in a place where it is throwing an assert. So no working code will get affected. * is in sync with the rest of the method: if the parent ast node has null `data`, we are supposed to return empty string. That is possible when we have expressions wrapped in braces.",ponylang-ponyc,c,7091,`self.timestamp = timezone.now()`,This is a good idea to initialize the timestamp as soon as possible. It will prevent any potential issues with the timestamp not being set when it's needed.,,shall we do whitelist instead?
61,"@@ -3719,9 +3719,11 @@ dr_create_client_thread(void (*func)(void *param), void *arg)
 #        endif
     LOG(THREAD, LOG_ALL, 1, ""dr_create_client_thread xsp="" PFX "" dstack="" PFX ""\n"", xsp,
         get_clone_record_dstack(crec));
+    os_clone_pre(dcontext);
     thread_id_t newpid =
         dynamorio_clone(flags, xsp, NULL, IF_X86_ELSE(IF_X64_ELSE(NULL, &desc), NULL),
                         NULL, client_thread_run);
+    os_clone_post(dcontext);
     /* i#501 switch to app's tls before creating client thread */
     if (IF_CLIENT_INTERFACE_ELSE(INTERNAL_OPTION(private_loader), false))
         os_switch_lib_tls(dcontext, false /*to dr*/);","But we're already doing os_switch_lib_tls to app a few lines above, so there is now redundancy we should alleviate.",DynamoRIO-dynamorio,c,9794,Shouldn't this be `string[]`?,"The level should be a string, not a number. It's not clear what the number corresponds to, but it's not clear what the levels should be. It's better to use a string to represent the level.",,@lmazuel @xingwu1 - did we change this or is this just a change from the generator?
62,"@@ -43,6 +43,7 @@
 #endif
 
 /* List of instrumentation functions. */
+#ifdef X86
 #define FUNCTIONS() \
         FUNCTION(empty) \
         FUNCTION(empty_1arg) \","Ditto, here and below",DynamoRIO-dynamorio,c,4238,This import is unused.,This import is not used in the codebase. It's better to remove it to keep the code clean.,,I would save this into a variable and use it in the construction of `args` and in the `assert`. It may also make more sense to move the `assert` above the `args` declaration. Normally we assert as close as possible to the place where something could've failed.
63,"@@ -3,15 +3,17 @@
 #endif
 #include <platform.h>
 
-#if defined(PLATFORM_IS_LINUX) || defined(PLATFORM_IS_FREEBSD)
+#if defined(PLATFORM_IS_LINUX) || defined(PLATFORM_IS_BSD)
 #include <sched.h>
 #include <sys/time.h>
 #include <sys/resource.h>
 #include <sys/mman.h>
 #endif
 
-#if defined(PLATFORM_IS_FREEBSD)
+#if defined(PLATFORM_IS_BSD)
 #include <pthread_np.h>
+#endif
+#if defined(PLATFORM_IS_FREEBSD)
 #include <sys/cpuset.h>
 typedef cpuset_t cpu_set_t;
 #endif",i noted that we are inconsistent with when we indent includes (see atomics.h which is rather different) and for example cpu.c which is also different. we seem to have 3 styles.,ponylang-ponyc,c,6731,">ThreadAgnostic = 2 | ThreadSafe [](start = 12, length = 31) nit: `ThreadAgnostic | ThreadSafe`","This is a good addition to the enum, it allows for more granular control over thread safety.",,Is this rename intentional?
64,"@@ -1749,6 +1749,14 @@ translate_from_synchall_to_dispatch(thread_record_t *tr, thread_synch_state_t sy
                 arch_mcontext_reset_stolen_reg(dcontext, mc);
             }
         });
+        IF_AARCHXX({
+            // XXX i#4495: Consider saving stolen reg's application value.
+            set_stolen_reg_val(mc, (reg_t)os_get_dr_tls_base(dcontext));
+            // XXX: This path is tested by linux.thread-reset and linux.clone-reset.
+            // We just haven't run those on ARM yet.
+            IF_ARM(ASSERT_NOT_TESTED());
+        });
+
         /* We send all threads, regardless of whether was in DR or not, to
          * re-interp from translated cxt, to avoid having to handle stale
          * local state problems if we simply resumed.","Include the key word ""translated"". Otherwise the reader will find this confusing.",DynamoRIO-dynamorio,c,2142,Indent the first parameter one step more than checkout.,"The instance variable @checkout is not used anywhere in the method receipt. It's better to use the parameter directly. Also, the method receipt is not using the instance variable @plan, it's using the parameter checkout.plan. It's better to use the parameter directly.",,"This will impact anyone that has a custom query type as an extension. However, I don't believe anyone does. In any case, I think we should bring this up in the user groups to see if these changes will impact anyone in the community."
65,"@@ -26,7 +26,7 @@
 
 #ifdef HAVE_CONFIG_H
 #include <config.h>
-#endif // HAVE_CONFIG_H
+#endif // HAVE_CONFIG_Hrm
 
 #include <glob.h>
 #include <stdio.h>","Remove the ""rm"" from the end of ""HAVE_CONFIG_H""",OPAE-opae-sdk,c,7917,Shouldn't this be `time.Duration(cr.Expires) * time.Millisecond`?,"This is a bit of a guess, but it seems like the intention is to add the current time to the expiry time, not to multiply it by 1000. If that's the case, you can remove the time.Duration(cr.Expires) * time.Millisecond part.",,"Not sure if we want to use the word ""Local"" in this volume name."
